trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
FLIXBUS:2030:26388:15:00:00Z,15:00:00,15:00:00,FLIXBUS:26388,0,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z,15:40:00,15:45:00,FLIXBUS:27478,1,,1,0,,1
FLIXBUS:2030:26388:15:00:00Z,16:15:00,16:20:00,FLIXBUS:26878,2,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z,17:30:00,17:50:00,FLIXBUS:26868,3,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z,20:15:00,20:20:00,FLIXBUS:26708,4,,1,0,,1
FLIXBUS:2030:26388:15:00:00Z,20:40:00,20:40:00,FLIXBUS:26638,5,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z-1,15:40:00,15:45:00,FLIXBUS:27478,1,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z-1,16:15:00,16:20:00,FLIXBUS:26878,2,,1,1,,1
FLIXBUS:2030:26388:15:00:00Z-1,17:30:00,17:50:00,FLIXBUS:26868,3,,1,0,,1
FLIXBUS:2030:26388:15:00:00Z-1,20:15:00,20:20:00,FLIXBUS:26708,4,,1,0,,1
FLIXBUS:2030:26388:15:00:00Z-1,20:40:00,20:40:00,FLIXBUS:26638,5,,1,0,,1
FLIXBUS:2030:26388:15:00:00Z-2,20:15:00,20:20:00,FLIXBUS:26708,4,,0,0,,1
FLIXBUS:2030:26388:15:00:00Z-2,20:40:00,20:40:00,FLIXBUS:26638,5,,1,1,,1
FLIXBUS:2030:26388:17:15:00Z,17:15:00,17:15:00,FLIXBUS:26388,0,,0,0,,1
FLIXBUS:2030:26388:17:15:00Z,17:55:00,18:00:00,FLIXBUS:27478,1,,0,0,,1
FLIXBUS:2030:26388:17:15:00Z,18:55:00,19:00:00,FLIXBUS:26858,2,,0,0,,1
FLIXBUS:2030:26388:17:15:00Z,19:40:00,20:00:00,FLIXBUS:26868,3,,0,0,,1
FLIXBUS:2030:26388:17:15:00Z,22:25:00,22:30:00,FLIXBUS:26708,4,,1,0,,1
FLIXBUS:2030:26388:17:15:00Z,22:50:00,22:50:00,FLIXBUS:26638,5,,0,0,,1
FLIXBUS:2030:26388:17:15:00Z-1,22:25:00,22:30:00,FLIXBUS:26708,4,,0,0,,1
