route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FLIXBUS:2030,2,FLIXBUS:2030:26388:15:00:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,2,FLIXBUS:2030:26388:15:00:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,2,FLIXBUS:2030:26388:15:00:00Z-2,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,1,FLIXBUS:2030:26388:17:15:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,1,FLIXBUS:2030:26388:17:15:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,8,FLIXBUS:2030:26388:17:30:00Z,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,8,FLIXBUS:2030:26388:17:30:00Z-1,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,8,FLIXBUS:2030:26388:17:30:00Z-2,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,14,FLIXBUS:2030:26388:19:55:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,14,FLIXBUS:2030:26388:19:55:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,26,FLIXBUS:2030:26398:16:55:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,26,FLIXBUS:2030:26398:16:55:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,26,FLIXBUS:2030:26398:16:55:00Z-2,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,26,FLIXBUS:2030:26398:16:55:00Z-3,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,10,FLIXBUS:2030:26398:17:25:00Z,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,10,FLIXBUS:2030:26398:17:25:00Z-1,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,10,FLIXBUS:2030:26398:17:25:00Z-2,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,10,FLIXBUS:2030:26398:17:25:00Z-3,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,10,FLIXBUS:2030:26398:17:25:00Z-4,Henderson (Galleria at Sunset),,,,,1,1
FLIXBUS:2030,27,FLIXBUS:2030:26448:02:05:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,27,FLIXBUS:2030:26448:02:05:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,27,FLIXBUS:2030:26448:02:05:00Z-2,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,7,FLIXBUS:2030:26468:01:15:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,7,FLIXBUS:2030:26468:01:15:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,7,FLIXBUS:2030:26468:01:15:00Z-2,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,24,FLIXBUS:2030:26468:23:50:00Z,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,24,FLIXBUS:2030:26468:23:50:00Z-1,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,24,FLIXBUS:2030:26468:23:50:00Z-2,Downtown Las Vegas (1st St),,,,,1,1
FLIXBUS:2030,34,FLIXBUS:2030:26638:00:25:00Z,Downtown LA (N Vignes St),,,,,1,1
